Labour force characteristics,Sex,Age group,Reference period,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia
Employment rate 9,Both sexes,30 to 34 years,2021,82.7,76.7,85.9,81.7,81,83.6,82.7,82.2,84.3,80.3,84.2
Employment rate 9,Both sexes,35 to 39 years,2019,83.5,77.6,82,81.1,81.4,85.9,81.4,84.6,85.8,83.7,85.4
Employment rate 9,Both sexes,35 to 39 years,2020,80,79.3,79.6,82.8,79.3,83.2,78.3,80.7,82.8,79.3,78.9
Employment rate 9,Both sexes,35 to 39 years,2021,82.7,78.1,81.7,81.9,82.2,85,81.3,83.8,85.4,81.1,84.5
Employment rate 9,Both sexes,40 to 44 years,2019,84.8,79.2,85.4,84.2,84.2,87,83.7,84.2,86.1,85.1,84.8
Employment rate 9,Both sexes,40 to 44 years,2020,81.4,74.7,80.7,81.8,81.1,83.3,80.6,82.5,83.5,79.6,82.2
Employment rate 9,Both sexes,40 to 44 years,2021,83.9,76.9,83,83.4,82.3,87.5,82.2,84.6,86,82.1,84.8
Employment rate 9,Both sexes,45 to 49 years,2019,85.1,76.5,81.3,82.6,82.1,88,84.3,84.4,85.2,84.8,85.4
Employment rate 9,Both sexes,45 to 49 years,2020,81.7,75,83,80.9,81.3,84,80.4,83,85.2,81,82.2
Employment rate 9,Both sexes,45 to 49 years,2021,83.5,74.6,81.6,81.5,83.2,85.9,82.6,84.3,84.7,81.9,83.9
Employment rate 9,Both sexes,50 to 54 years,2019,82.1,68.2,79.1,80.1,77.8,83.6,82.1,83.1,83.1,82.4,82.1
Employment rate 9,Both sexes,50 to 54 years,2020,79.4,70.6,80.7,76.4,79.8,81.3,79,81.7,82,78.2,78.7
Employment rate 9,Both sexes,50 to 54 years,2021,81.5,72.9,78.8,80,78.6,84.2,80.7,84.1,82.2,81.6,80.8
Employment rate 9,Both sexes,55 to 59 years,2019,71.6,60,71.4,66.4,65.4,72.2,71.3,74.7,75.5,72.2,73.2
Employment rate 9,Both sexes,55 to 59 years,2020,69.6,55.1,69.5,64.5,65.7,69.6,70.4,73,72.4,69.5,69.7
Employment rate 9,Both sexes,55 to 59 years,2021,71.8,58,71.3,66.4,65.8,73,71.6,73.2,75.1,73.8,72
Employment rate 9,Both sexes,60 to 64 years,2019,52.8,39.7,55.9,47.6,48.3,48.1,54.9,54,58,57,54.1
Employment rate 9,Both sexes,60 to 64 years,2020,50.6,35.2,53.6,41.1,45.8,47.4,52.7,52.6,53.6,53.8,51.6
Employment rate 9,Both sexes,60 to 64 years,2021,53.2,36.4,53.5,48.7,47.4,49.4,55.5,54.4,53.5,55.8,55.1
Employment rate 9,Both sexes,65 years and over,2019,14,9.6,16.3,11.6,11.1,11.1,14.4,15.2,19.6,18.6,15.5
Employment rate 9,Both sexes,65 years and over,2020,12.8,7,16.4,11.7,11.1,9.6,13.6,14.5,17.7,15,14.5
Employment rate 9,Both sexes,65 years and over,2021,12.9,8.7,15.2,12.2,10.8,10.2,13.8,13.7,15.9,15.7,13.9
Employment rate 9,Both sexes,65 to 69 years,2019,26.9,18.5,29.3,22,19.3,22.1,27.7,28.5,35.1,34,29.8
Employment rate 9,Both sexes,65 to 69 years,2020,24,13.4,29,21.9,20.3,18.7,26.5,26.6,28.5,24.7,26.8
Employment rate 9,Both sexes,65 to 69 years,2021,25.1,16.3,27.5,23.3,19.9,20.5,27.4,25.6,25.4,28.6,26.8
Employment rate 9,Both sexes,70 years and over,2019,7.7,4.9,9.7,6.4,6.9,5.8,8.1,8.5,11.8,10.1,8.4
Employment rate 9,Both sexes,70 years and over,2020,7.3,3.5,10.7,6.7,6.4,5.2,7.5,8.5,12.2,9.7,8.5
Employment rate 9,Both sexes,70 years and over,2021,7.1,4.8,9.3,6.9,6.4,5.3,7.4,7.8,10.9,8.6,7.8
Employment rate 9,Males,15 years and over,2019,65.8,53.3,63.1,59.2,58.6,64.7,65.5,67.9,69.7,70.6,66.7
Employment rate 9,Males,15 years and over,2020,62.1,48.7,61.2,56.3,56.9,61.5,62.1,65.4,66.1,65.6,61.9
Employment rate 9,Males,15 years and over,2021,64.3,50.8,63.1,58.6,57.4,63.7,64.1,66.9,67.1,67.6,65.3
Employment rate 9,Males,15 to 24 years,2019,56.6,48.8,61.3,59.1,57.6,62.1,53.5,57.7,58.6,55.8,57.8
Employment rate 9,Males,15 to 24 years,2020,49.3,44.6,53.7,52.7,55,55.4,46.1,52.2,52,46.8,49.5
Employment rate 9,Males,15 to 24 years,2021,54.6,50.5,60,56.5,59.1,60.4,50.6,58.5,57.8,51.3,58.4
Employment rate 9,Males,25 years and over,2019,67.4,54,63.4,59.3,58.7,65.1,67.9,70,71.7,73.3,68.3
Employment rate 9,Males,25 years and over,2020,64.4,49.3,62.7,56.9,57.2,62.4,65.1,68.1,68.7,69,64.1
Employment rate 9,Males,25 years and over,2021,66,50.8,63.9,58.9,57.2,64.2,66.7,68.6,68.9,70.5,66.5
Employment rate 9,Males,25 to 44 years,2019,86.5,78.5,83.6,81.9,81.8,86.3,85.9,88,88.1,87.9,88.6
Employment rate 9,Males,25 to 44 years,2020,82.5,72.6,80.7,79.3,78.7,83.7,82.1,84.7,84.7,82.4,82.8
Employment rate 9,Males,25 to 44 years,2021,85.6,75.1,83.9,82.5,81.1,86.4,84.8,87.2,88.2,86.2,87.1
Employment rate 9,Males,45 to 64 years,2019,77.2,62.9,73.2,70.4,70,76.1,78,78.7,79.4,79.1,78.7
Employment rate 9,Males,45 to 64 years,2020,74.7,59.6,73,67.3,69.9,73.9,75.6,78.5,77,77.1,74.7
Employment rate 9,Males,45 to 64 years,2021,76.7,61.1,74.6,70.3,69.5,76.3,77.4,79.3,76.5,78.3,77.7
Employment rate 9,Males,45 years and over,2019,55.3,43.2,52.9,48.2,48,52.5,56.3,57.4,60.1,61.2,55.6
Employment rate 9,Males,45 years and over,2020,52.7,39.2,53.3,45.8,47.3,49.7,54.1,56.5,57.4,58.1,52.3
Employment rate 9,Males,45 years and over,2021,53.4,40.5,53.1,47.3,46.2,51.1,54.8,55.7,55.4,57.9,53.4
Employment rate 9,Males,25 to 54 years,2019,86.6,76.3,82.5,82,81.2,86.8,86.2,87.8,88,88,88.3
Employment rate 9,Males,25 to 54 years,2020,83.1,72.4,81.2,79.7,80,84.1,82.8,85.2,85.2,83,83.1
Employment rate 9,Males,25 to 54 years,2021,85.7,74.4,82.9,82,81.1,86.5,85.1,87.5,87.5,86.3,87.2
Employment rate 9,Males,55 years and over,2019,41.6,31.3,41.5,35.7,35.5,38.4,42.5,44.2,48.5,47.2,42.2
Employment rate 9,Males,55 years and over,2020,39.6,26.6,41.9,33.7,34.2,36.1,41,43.8,45.5,44.8,39.7
Employment rate 9,Males,55 years and over,2021,40.2,28.5,42.2,35.7,33.5,37.7,42,42.1,43.2,43.6,40.2
Employment rate 9,Males,15 to 64 years,2019,77.1,65.9,74.5,72.4,72.1,77.9,76.2,78.2,79.2,78.8,78.8
Employment rate 9,Males,15 to 64 years,2020,73.2,61.5,71.8,69,70.4,74.8,72.3,75.6,75.5,74,73.4
Employment rate 9,Males,15 to 64 years,2021,76.3,64.1,74.8,72.3,71.9,77.8,75.2,78.3,77.9,76.9,78.1
Employment rate 9,Males,15 to 19 years,2019,41.5,33.6,44.7,43.8,43.8,50.1,38.5,39.9,42.1,37.3,42
Employment rate 9,Males,15 to 19 years,2020,35.4,30.7,38.3,38.2,43.6,43.5,31.8,39.4,36.2,31.3,34.9
Employment rate 9,Males,15 to 19 years,2021,40.4,34.6,43.8,39.5,48.5,49.7,35.8,40.9,43.3,35.9,43.2
Employment rate 9,Males,20 to 24 years,2019,69.2,63.1,74.6,71.4,70.3,72.1,65.9,73.5,73.7,72.6,70.5
Employment rate 9,Males,20 to 24 years,2020,60.8,57.3,66.1,64.7,65.2,65.4,57.6,62.9,66.5,60.9,60.9
Employment rate 9,Males,20 to 24 years,2021,66.5,65.1,71.4,70.5,68.9,69.6,62.7,73.7,71.2,65.5,70.3
Employment rate 9,Males,25 to 29 years,2019,82.2,74,82.4,79.3,76.7,81.5,81.3,84.1,85.2,83.6,85.1
Employment rate 9,Males,25 to 29 years,2020,76.6,70.4,75.9,68.5,72.2,79,75.9,79.4,80.5,75.5,76.4
Employment rate 9,Males,25 to 29 years,2021,80.9,70.5,81,80.3,77.9,82.4,79.2,81,84,83,82
Employment rate 9,Males,30 to 34 years,2019,87.5,79.6,81.4,83.2,83.1,86.2,87.5,88.2,87.9,88,90.4
Employment rate 9,Males,30 to 34 years,2020,83.5,67.6,81.8,81.3,80,85.7,81.9,85.2,85.4,84.9,84.3
Employment rate 9,Males,30 to 34 years,2021,86.3,74.6,86.7,80.8,82.1,86.2,86.2,89.6,88.8,86.6,87.5
Employment rate 9,Males,35 to 39 years,2019,88.4,81.3,85.4,81,82.1,88.6,87.8,91.3,90.7,90.2,89.4
Employment rate 9,Males,35 to 39 years,2020,84.7,78.3,83.3,86,80.5,84.6,85,87.1,85.9,85,84.1
Employment rate 9,Males,35 to 39 years,2021,87.8,79.4,84.8,83.4,81.6,87.6,87.7,89.4,89.4,87.9,89.7
Employment rate 9,Males,40 to 44 years,2019,88.3,79.2,85.4,84,85,89,87.6,88.7,88.7,89.7,89.5
Employment rate 9,Males,40 to 44 years,2020,85.7,74.7,82.9,83.3,81.8,85.7,86.6,87.4,87,83.4,87
Employment rate 9,Males,40 to 44 years,2021,87.7,75.6,84.1,85.8,82.4,89.4,86.7,89,90.1,86.8,89.5
Employment rate 9,Males,45 to 49 years,2019,88.2,77.4,82.6,82.7,82.4,89.3,88,89.5,88.4,89.3,89
Employment rate 9,Males,45 to 49 years,2020,85.6,74.1,84.1,84.3,84.5,86.1,85.7,87.5,87.3,85.8,85.2
Employment rate 9,Males,45 to 49 years,2021,87.2,72.2,82.6,83.3,83.4,88.3,86.8,88.5,87.5,87.2,88.7
Employment rate 9,Males,50 to 54 years,2019,85.5,68.8,78.6,81.8,78.3,86.2,85.7,85.6,86.4,87.2,86.6
Employment rate 9,Males,50 to 54 years,2020,83,70.4,80.4,77.1,80.1,84,83.4,84.9,85.5,83.1,82.4
Employment rate 9,Males,50 to 54 years,2021,84.7,74.6,80.8,78.8,79,85.3,84.7,87.6,84.5,85.6,86
Employment rate 9,Males,55 to 59 years,2019,76.2,63.4,71.9,70.4,67.6,76.3,76.5,77.5,81,76.1,78.6
Employment rate 9,Males,55 to 59 years,2020,74.1,54.5,70.2,68,67.9,74.2,74.4,79,77,75.5,74.7
Employment rate 9,Males,55 to 59 years,2021,76.7,60.6,73.2,69.5,67.3,77.4,77.2,79.4,77.9,78.5,76.7
Employment rate 9,Males,60 to 64 years,2019,59.2,44.4,61.1,50.8,54.5,54.9,61.4,62.6,63.3,62.7,61.3
Employment rate 9,Males,60 to 64 years,2020,57.5,42.5,59.3,45.6,50.3,54,59.2,63.5,60.2,63.2,58.1
Employment rate 9,Males,60 to 64 years,2021,59.7,40.9,63,54.2,52.3,57.2,61.9,62,59,60.9,61.5
Employment rate 9,Males,65 years and over,2019,18.4,13,21.9,15.1,14.5,15.1,18.8,21.1,26.7,24,19.4
Employment rate 9,Males,65 years and over,2020,17.2,9.6,23.9,15.3,14.5,13.1,18.4,20.5,25.2,20.6,18.5
Employment rate 9,Males,65 years and over,2021,17.4,12,22.4,15.9,13.6,14.5,18.6,18.7,22.3,19.5,18.3
Employment rate 9,Males,65 to 69 years,2019,32.3,24,35.4,25.5,22.8,27.1,33.2,35.3,43.5,40.3,35
Employment rate 9,Males,65 to 69 years,2020,29.9,17.5,39.6,24.9,24.9,22.8,33.4,34.2,36.1,32.1,33
Employment rate 9,Males,65 to 69 years,2021,30.8,22.2,36.7,27.5,22.1,25.5,34,32.7,32.4,32.7,33.3
Employment rate 9,Males,70 years and over,2019,11.2,6.7,13.5,9.5,10,8.8,11.6,13.6,17.5,14.6,11.4
Employment rate 9,Males,70 years and over,2020,10.7,5.2,16,10.3,9,8,10.9,13.3,19,14,11.2
Employment rate 9,Males,70 years and over,2021,10.6,6.6,15.3,10.2,9.2,9,11,11.5,16.6,11.6,11
Employment rate 9,Females,15 years and over,2019,58,48.6,58.6,55.3,53.9,58.4,57.1,58.2,59.5,61.4,59.2
Employment rate 9,Females,15 years and over,2020,53.9,47.4,54.7,51.9,51.9,54.8,53.1,55.1,56.4,55.8,54.1
Employment rate 9,Females,15 years and over,2021,56.3,48.1,55.3,54.4,53.4,56.6,55.4,57.4,58.3,58.8,57
Employment rate 9,Females,15 to 24 years,2019,59.1,49.1,64.6,62.3,58.8,66.5,54.9,60.8,56.5,57.4,62.4
Employment rate 9,Females,15 to 24 years,2020,49.8,51.5,54.1,53.8,52,58.7,45.6,53.9,52.6,46.5,48.9
Employment rate 9,Females,15 to 24 years,2021,55.9,52.5,56.6,61.2,59.4,63.6,51.2,59.8,57.5,54.1,57.7
Employment rate 9,Females,25 years and over,2019,57.9,48.5,57.4,54.3,53.2,57.2,57.5,57.7,60,62,58.7
Employment rate 9,Females,25 years and over,2020,54.6,46.9,54.8,51.6,51.9,54.3,54.3,55.3,57,57.4,54.9
Employment rate 9,Females,25 years and over,2021,56.3,47.6,55,53.5,52.6,55.6,56.1,57,58.5,59.6,56.9
Employment rate 9,Females,25 to 44 years,2019,79.4,74.7,81.8,80.7,80.6,83.4,77.4,76.3,79.1,77.6,81.1
Employment rate 9,Females,25 to 44 years,2020,75.5,75.6,76.4,78.5,78.6,80.1,73.4,74.1,76.1,73.9,75.2
Employment rate 9,Females,25 to 44 years,2021,78.8,77,80.9,80.4,80.6,82.6,77.1,77.3,79.7,75.5,80.5
Employment rate 9,Females,45 to 64 years,2019,68.4,58.1,69.5,65.8,65.1,68.2,68.6,69.3,70.5,69.6,68.5
Employment rate 9,Females,45 to 64 years,2020,65.3,56.7,69.1,61.6,64.4,65.4,65.6,66.4,68.1,64.4,65.9
Employment rate 9,Females,45 to 64 years,2021,67.5,58,67.1,65.4,65.7,67.9,67.5,68.3,69.9,68.6,67.5
Employment rate 9,Females,45 years and over,2019,45.1,37.2,45.7,41.8,41,42.9,45.6,45.6,47.4,49.9,45.9
Employment rate 9,Females,45 years and over,2020,42.2,34.9,44,38.8,40.1,40.2,42.9,43.2,44.5,44.7,43.3
Employment rate 9,Females,45 years and over,2021,43.1,35.4,41.9,40.6,40.3,41,43.6,43.9,44.6,47.6,43.3
Employment rate 9,Females,25 to 54 years,2019,79.7,73.4,80.8,80.5,80.1,83.4,78.2,77.5,79.6,78,80.7
Employment rate 9,Females,25 to 54 years,2020,75.9,74.5,78.2,77.9,78.7,80.1,73.9,75.5,77.4,74.1,75.8
Employment rate 9,Females,25 to 54 years,2021,78.9,75.7,80.1,80.3,80.6,82.8,77.3,78.2,80.1,76,79.6
Employment rate 9,Females,55 years and over,2019,30.8,23.5,32.9,28,27.1,27.9,31.3,31.5,34.6,36,32.1
Employment rate 9,Females,55 years and over,2020,28.7,20.4,30.4,25.7,26.5,26,29.9,29.1,31,30.7,29.9
Employment rate 9,Females,55 years and over,2021,29.3,21.5,28.9,27.3,26.6,26.4,30.2,29.6,31.1,34.1,30.2
Employment rate 9,Females,15 to 64 years,2019,71.2,62.6,73.3,70.8,69.6,74.1,69.6,70.6,71.6,71.1,72.5
Employment rate 9,Females,15 to 64 years,2020,66.8,62.5,68.9,66.7,67.6,70.3,65.1,67.3,68.7,65.6,66.7
Employment rate 9,Females,15 to 64 years,2021,70.1,63.9,70.5,70.5,70.1,73.2,68.4,70.5,71.8,69.2,71.2
Employment rate 9,Females,15 to 19 years,2019,45,34.6,51.1,51.2,47.2,54.5,41.5,45.8,41.6,38.9,46.7
Employment rate 9,Females,15 to 19 years,2020,37.8,38.8,40,39.9,44.9,47.3,32.9,40.4,38.4,34.4,38.6
Employment rate 9,Females,15 to 19 years,2021,43.1,41.9,45.7,46.1,51.5,52.5,37.6,44.9,44.3,39.6,46.3
Employment rate 9,Females,20 to 24 years,2019,71.3,63.7,78.4,72.1,70.5,76.7,66.3,74.4,70.7,74.6,75.4
Employment rate 9,Females,20 to 24 years,2020,60.1,63.7,66,65.4,58.9,68.5,56.2,66.4,66.3,58,57.4
Employment rate 9,Females,20 to 24 years,2021,67.1,62.7,67.9,74.4,67,73.6,62.7,73.3,70.3,67.8,67
Employment rate 9,Females,25 to 29 years,2019,79.9,70.3,80.4,77.1,78.8,83.2,79.3,73.8,76.6,78.3,81.5
Employment rate 9,Females,25 to 29 years,2020,74.2,69.6,72.9,76.1,80.4,79,72.1,72.7,73.2,73.3,73.5
Employment rate 9,Females,25 to 29 years,2021,78.1,73.5,78.4,77,77.8,81,76.3,75.6,75.4,77.2,81.7
Employment rate 9,Females,30 to 34 years,2019,77.5,74.3,80,80.4,79,82.2,75,74.5,75.9,74.7,81
Employment rate 9,Females,30 to 34 years,2020,75.3,76.2,78.3,78.1,75.1,78.5,74.8,71.5,71.4,73.1,75.5
Employment rate 9,Females,30 to 34 years,2021,79.1,78.7,85.1,82.5,79.9,81,79.2,74.8,80,73.9,80.8
Employment rate 9,Females,35 to 39 years,2019,78.6,74.6,79.2,80.9,80.8,83.2,75,77.9,81,77.2,81.3
Employment rate 9,Females,35 to 39 years,2020,75.3,79.6,76,79.7,78.2,81.9,72,74.3,79.9,73.1,74
Employment rate 9,Females,35 to 39 years,2021,77.6,76.4,80.9,80.7,82.7,82.4,75.1,78,81.1,73.4,79.4
Employment rate 9,Females,40 to 44 years,2019,81.5,79.9,85.4,84.4,83.1,84.8,80.2,79.5,83,80.4,80.4
Employment rate 9,Females,40 to 44 years,2020,77.3,74.7,80.4,80.1,80.5,80.7,74.9,77.8,79.7,76.1,77.6
Employment rate 9,Females,40 to 44 years,2021,80.3,78.7,81.6,81.3,82.1,85.5,77.9,80.4,81.9,77.9,80.1
Employment rate 9,Females,45 to 49 years,2019,82.1,75.6,80,82.4,81.5,86.7,80.8,79.3,81.9,80.3,81.9
Employment rate 9,Females,45 to 49 years,2020,77.8,75.4,80,77.7,78,82,75.2,78.7,83,75.9,79.5
Employment rate 9,Females,45 to 49 years,2021,79.9,77.3,80.8,79.5,83.1,83.5,78.7,79.9,82,76.5,79.5
Employment rate 9,Females,50 to 54 years,2019,78.8,67.6,79.6,78.5,77.2,80.9,78.6,80.6,79.7,77.4,78
Employment rate 9,Females,50 to 54 years,2020,75.8,70.7,81.5,75.7,79.5,78.4,74.8,78.6,78.2,73.4,75.2
Employment rate 9,Females,50 to 54 years,2021,78.4,71.2,76.9,80.7,78.2,83,76.9,80.9,80,77.8,75.9
Employment rate 9,Females,55 to 59 years,2019,67.1,56.2,72.1,62.6,62.9,68,66.3,71.6,70,68.3,68.1
Employment rate 9,Females,55 to 59 years,2020,65.3,55.3,68.9,61.4,63.1,64.9,66.4,67.5,67.7,63.4,65
Employment rate 9,Females,55 to 59 years,2021,67.1,55.6,69.5,63.5,64.3,68.6,66.1,66.8,72.3,69.2,67.5
Employment rate 9,Females,60 to 64 years,2019,46.5,35,50,44.7,42.2,41.4,48.7,45.6,52.6,51.5,47.3
Employment rate 9,Females,60 to 64 years,2020,43.9,28,48.3,36.9,41,40.8,46.4,41.9,46.9,44.5,45.5
Employment rate 9,Females,60 to 64 years,2021,46.9,32.6,45.8,43.5,42.4,41.8,49.3,47.1,47.9,50.8,49
Employment rate 9,Females,65 years and over,2019,10.2,6.7,11.4,8.7,8,7.6,10.7,9.9,13.3,13.7,12
Employment rate 9,Females,65 years and over,2020,8.9,4.6,9.8,8.5,8.1,6.5,9.5,9.2,11,10,10.9
Employment rate 9,Females,65 years and over,2021,9,5.7,8.9,9,8.3,6.3,9.7,9.3,10.1,12.3,10
Employment rate 9,Females,65 to 69 years,2019,21.8,13.1,23.5,18.7,15.7,17.2,22.8,21.9,27.2,28,24.9
Employment rate 9,Females,65 to 69 years,2020,18.4,9.5,19.2,19.1,16,14.7,20.3,19.3,20.6,17.6,21.1
Employment rate 9,Females,65 to 69 years,2021,19.8,10.8,18.9,19.8,17.8,15.7,21.4,18.9,18.5,24.6,20.9
Employment rate 9,Females,70 years and over,2019,4.8,3,6.6,4,4.3,3.3,5.2,4.2,7,6.3,5.7
Employment rate 9,Females,70 years and over,2020,4.5,2.1,6.3,3.7,4.3,2.8,4.7,4.7,6.4,6.1,6
Employment rate 9,Females,70 years and over,2021,4.1,3.2,4.3,4.1,3.8,2.2,4.5,4.8,6.1,5.9,4.9
